agent_name,mls,property_type,neighborhood,city,url,timestamp,price,year,zipcode,bed,bath,agent_number,state,image_url,lot,address,zestimate,listing_type,zestimate_rent,desc
Jennifer McBride,201654931,Single Family,Jacobsville ,Evansville,http://www.zillow.com/homedetails/505-E-Iowa-St-Evansville-IN-47711/94597927_zpid/,23 Dec 2016 15:36:08," $19,900 ",1904,47711,2,1,(812) 430-5661 ,Indiana,https://photos.zillowstatic.com/p_h/ISa1ra2twktj481000000000.jpg,"2,613 sqft",505 E Iowa St ,"$23,802",  For Sale ,$575/mo,Great investment home or great purchase for someone able to finish a little work.
Jenna Hancock-Wargel,201624861,Single Family,Tepe Park ,Evansville,http://www.zillow.com/homedetails/1400-S-Bedford-Ave-Evansville-IN-47713/94596999_zpid/,23 Dec 2016 15:36:08," $19,500 ",1924,47713,2,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/IS1jzqzlpfan1q1000000000.jpg,"3,750 sqft",1400 S Bedford Ave ,"$32,557",  For Sale ,$575/mo,"This 1356 square foot single family home has 2 bedrooms and 1.0 bathrooms. It is located at 1400 S Bedford Ave Evansville, Indiana."
Jenna Hancock-Wargel,201624865,Single Family,Jacobsville ,Evansville,http://www.zillow.com/homedetails/1209-Edgar-St-Evansville-IN-47710/94598980_zpid/,23 Dec 2016 15:36:08," $15,500 ",1904,47710,3,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/ISp5djonek2zvv1000000000.jpg,"4,050 sqft",1209 Edgar St ,"$30,510",  For Sale ,$575/mo,"This 944 square foot single family home has 3 bedrooms and 1.0 bathrooms. It is located at 1209 Edgar St Evansville, Indiana."
Jenna Hancock-Wargel,201624867,Single Family,Akin Park ,Evansville,http://www.zillow.com/homedetails/1012-Jefferson-Ave-Evansville-IN-47714/97347975_zpid/,23 Dec 2016 15:36:09," $15,000 ",1925,47714,2,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/ISla2v4rtfxcwv1000000000.jpg,"2,750 sqft",1012 Jefferson Ave ,"$29,026",  For Sale ,$550/mo,"This 810 square foot single family home has 2 bedrooms and 1.0 bathrooms. It is located at 1012 Jefferson Ave Evansville, Indiana."
Jenna Hancock-Wargel,201624862,Single Family,Jacobsville ,Evansville,http://www.zillow.com/homedetails/1110-Edgar-St-Evansville-IN-47710/94599145_zpid/,23 Dec 2016 15:36:09," $15,500 ",1904,47710,2,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/IStwkate8zl97q1000000000.jpg,"3,888 sqft",1110 Edgar St ,"$26,283",  For Sale ,$550/mo,"This 976 square foot single family home has 2 bedrooms and 1.0 bathrooms. It is located at 1110 Edgar St Evansville, Indiana."
David Talley,201633032,Single Family,,Evansville,http://www.zillow.com/homedetails/2809-S-Weinbach-Ave-Evansville-IN-47714/77109319_zpid/,23 Dec 2016 15:36:09," $19,900 ",1915,47714 ,5,1,(812) 504-2025 ,Indiana,https://photos.zillowstatic.com/p_h/ISme9zbmm6enm80000000000.jpg,,2809 S Weinbach Ave ,"$92,155",  For Sale ,$750/mo,"Home needs much TLC- be careful in bedroom on main floor, the flooring is weak. Large home with 4 rooms upstairs that could be bedrooms. There is mold in the home so enter at your own risk.  The lot is 60x 324 or .45 of acre."
Bill Long,201643609,Single Family,,Evansville,http://www.zillow.com/homedetails/1514-W-Maryland-St-Evansville-IN-47710/94599715_zpid/,23 Dec 2016 15:36:09," $19,900 ",1889,47710 ,3,1,(812) 449-2571 ,Indiana,https://photos.zillowstatic.com/p_h/ISus93pw7s4hw20000000000.jpg,"3,049 sqft",1514 W Maryland St ,"$26,895",  For Sale ,$575/mo,"This home has been approved for a ""Live In"" daycare center. It is not approved for a stand alone daycare. It is zoned M3 legal non-conforming. Please check the zoning and financing as it is a legal non-conforming use. The lot next door (1516 W Maryland) can be purchased with this house and would allow for more children to be kept at one time.  The home can also be a 3 bedroom 1 bath residence without much trouble.  All measurements are approximate and should be verified by Buyer or Buyer's agent."
David Talley,201629093,Single Family,,Evansville,http://www.zillow.com/homedetails/1201-E-Iowa-St-Evansville-IN-47711/94597698_zpid/,23 Dec 2016 15:36:09," $21,900 ",1919,47711 ,3,1,(812) 504-2025 ,Indiana,https://photos.zillowstatic.com/p_h/ISec6pddl18fyt1000000000.jpg,,1201 E Iowa St ,"$65,031",  For Sale ,$725/mo,"Three bedroom home on corner lot with fenced backyard with detached garage. Home has large living room and dining room. All bedrooms are upstairs. Home has enclosed front porch, plus a full basement.This could be a nice home with some  work.  Must have approval letter from bank when submitting offer."
Jenna Hancock-Wargel,201624875,Single Family,Jacobsville ,Evansville,http://www.zillow.com/homedetails/1003-1005-Edgar-St-Evansville-IN-47710/2098254565_zpid/,23 Dec 2016 15:36:09," $16,000 ",1889,47710,3,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/ISxj55e9o3tfjd0000000000.jpg,,1003-1005 Edgar St ,"$31,856",  For Sale ,Unavailable,"This 890 square foot single family home has 3 bedrooms and 1.0 bathrooms. It is located at 1003 Edgar St Evansville, Indiana."
Rebecca Demastus,201646426,Multi Family,,Evansville,http://www.zillow.com/homedetails/1800-N-6th-Ave-Evansville-IN-47710/94599451_zpid/,23 Dec 2016 15:36:09," $9,900 ",1889,47710 ,4,2,(812) 457-9345 ,Indiana,https://photos.zillowstatic.com/p_h/ISapts8somhqog0000000000.jpg,,1800 N 6th Ave ,"$51,579",  For Sale ,$595/mo,"This duplex sits on a corner lot and has a fenced yard. Unit 1 is a 1 bedroom, 1 bath and sits at the front. Unit 2 is at the rear of the building and is a 3 bedroom, 1 bath with an upstairs. There is also a back porch. This duplex will need some tlc but is an investment opportunity! As Is"
