agent_name,mls,property_type,neighborhood,city,url,timestamp,price,year,zipcode,bed,bath,agent_number,state,image_url,lot,address,zestimate,listing_type,zestimate_rent,desc
Rachel Kain,201651795,Single Family,Southeast Quality ,South Bend,http://www.zillow.com/homedetails/214-Milton-St-South-Bend-IN-46613/94571931_zpid/,24 Dec 2016 03:04:18," $5,000 ",1907,46613,3,2,(704) 497-3628 ,Indiana,,"2,112 sqft",214 Milton St ,"$25,188",  For Sale ,$650/mo,Investment property in need of full rehab. Sold as is.
Robert Horn,201655056,Single Family,Rum Village ,South Bend,http://www.zillow.com/homedetails/1723-Chapin-St-South-Bend-IN-46613/94573567_zpid/,24 Dec 2016 03:04:19," $19,900 ",1920,46613,5,2,(574) 742-4154 ,Indiana,https://photos.zillowstatic.com/p_h/ISqdjprp9br6311000000000.jpg,"5,209 sqft",1723 Chapin St ,"$36,085",  For Sale ,$675/mo,"THIS INCOME EARNER IS BEING SOLD 'AS IS' AND PRICED ACCORDINGLY. CASH ONLY AND HAVE PROOF OF FUNDS. ONE BLOCK DOWN FROM OUR LADY OF HUNGARY CHURCH. HAS GOOD POTENTIAL, 4 BEDROOMS UP AND ONE ON MAIN LEVEL. CURRENTLY RENTED AT $700 PER MONTH.  INVESTOR FROM CALIFORNIA IS LOOKING TO BUNDLE THIS WITH 3 OTHER PROPERTIES.  553 W. 6th ST, Mishawaka $45,900 $825 PER MONTH  111 W. 10th ST, Mishawaka $79,900 TRI-PLEX GROSS $1625 PER MONTH  1210 W. 6th ST, Mishawaka $79,900 TRI-PLEX GROSS $1625 PER MONTH  ROOM SIZES TAXES AND SCHOOLS DEEMED TO BE ACCURATE BUT NOT WARRANTED. BUYER'S AGENT TO VERIFY."
Debbie Speth,201653276,Single Family,,South Bend,http://www.zillow.com/homedetails/59096-Malcor-St-South-Bend-IN-46619/77055306_zpid/,24 Dec 2016 03:04:19," $19,800 ",1945,46619 ,3,1,(574) 286-1671 ,Indiana,https://photos.zillowstatic.com/p_h/IS62pia140rexv1000000000.jpg,0.49 acres,59096 Malcor St ,"$59,956",Foreclosure,$750/mo,"Over 1400 sq. ft. in this 3 bedroom home on a large, 1/2 acre country lot!  Affordable living in a quiet neighborhood close to bypass for easy travel.  Spacious eat-in kitchen.  Large master bedroom could be converted back to 2 bedrooms if you need that 4th bedroom.  Electrical box appears updated.  Ceramic floor in laundry room.  Most windows appear newer.  Front covered porch gives a nice exterior appeal.  Won't last!  Buyer to verify sizes, schools, and water/septic."
Jan McGregor,201651451,Single Family,Southeast Quality ,South Bend,http://www.zillow.com/homedetails/1812-Columbia-St-South-Bend-IN-46613/94572114_zpid/,24 Dec 2016 03:04:19," $19,900 ",1910,46613,3,1,(574) 258-5858 ,Indiana,https://photos.zillowstatic.com/p_h/ISah72bs185nx01000000000.jpg,"2,661 sqft",1812 Columbia St ,"$16,723",  For Sale ,$650/mo,OUT OF TOWN SELLER WANTS AN OFFER. NEEDS SOME WORK. BRING ALL OFFERS!
Debbie Speth,201639477,Single Family,,South Bend,http://www.zillow.com/homedetails/513-S-Sheridan-St-South-Bend-IN-46619/94566905_zpid/,24 Dec 2016 03:04:19," $19,900 ",1947,46619 ,2,1,(574) 286-1671 ,Indiana,https://photos.zillowstatic.com/p_h/ISew1j5e5mw0x50000000000.jpg,"5,248 sqft",513 S Sheridan St ,"$27,225",Foreclosure,$600/mo,"This affordable 2 bedroom home has a full basement and fenced yard.  Hardwood floors in both bedrooms and living room and ceramic tub surround.  Living room walls and ceiling are solid knotty pine adding a lot of character to this property.  Oak kitchen cabinets and shed in back yard too!  Electrical box appears updated.  Easy to show, but please provide feedback.  See agent remarks."
Karin Buda,201641970,Single Family,Lincoln Manor ,South Bend,http://www.zillow.com/homedetails/3021-Bonds-Ave-South-Bend-IN-46628/94563971_zpid/,24 Dec 2016 03:04:19," $19,900 ",1926,46628,3,1,(574) 651-7089 ,Indiana,https://photos.zillowstatic.com/p_h/IS2vwo5foc6rcx1000000000.jpg,0.28 acres,3021 Bonds Ave ,"$36,863",  For Sale ,$700/mo,Nice 3 bedroom home on a double lot. Located close to community amenities near Lincolnway West and N Bendix. Detached 1 car garage with access off alley. Enclosed porch
Property Owner,,Single Family,Nws Cooperative Alliance ,South Bend,http://www.zillow.com/homedetails/2513-Lawton-St-South-Bend-IN-46628/94563774_zpid/,24 Dec 2016 03:04:19," $19,000 ",1926,46628,3,1,(574) 205-0287 ,Indiana,https://photos.zillowstatic.com/p_h/IS-1qpiji88oawyl.jpg,"4,640 sqft",2513 Lawton St ,"$28,906",  For Sale by Owner ,$650/mo,Great Opportunity To Buy This All Brick 3 Bedroom Home With Many Possibilities.
Ryan Scott,201653796,Single Family,Southeast Quality ,South Bend,http://www.zillow.com/homedetails/231-E-Fox-St-South-Bend-IN-46613/77035532_zpid/,24 Dec 2016 03:04:20," $18,000 ",1929,46613,2,1,(574) 520-8326 ,Indiana,https://photos.zillowstatic.com/p_h/ISql15it8arkq80000000000.jpg,"4,748 sqft",231 E Fox St ,"$32,194",Foreclosure,$650/mo,"This 2 bedroom 1 bathroom home could be what you've been waiting for.  With just a little bit of love, this home could be ready quickly for you to move in or rent it out to some new tenants.  Call today to schedule your showing and to find out how to buy this home for a down payment of just $100!!!"
Joe Tiffany,201405595,Single Family,,South Bend,http://www.zillow.com/homedetails/1957-N-Brookfield-St-South-Bend-IN-46628/77021330_zpid/,24 Dec 2016 03:04:20," $16,900 ",1950,46628 ,2,1,(574) 285-4129 ,Indiana,https://photos.zillowstatic.com/p_h/ISxnsdrgvsqt890000000000.jpg,"5,663 sqft",1957 N Brookfield St ,"$31,008",  For Sale ,$600/mo,Awesome investment located at 1957 Brookfield in South Bend! This home offers 2 bedrooms and 1 bathroom and a 1 car detached garage located right Across from Marquette school.
Property Owner,,Single Family,Nws Cooperative Alliance ,South Bend,http://www.zillow.com/homedetails/2513-Lawton-St-South-Bend-IN-46628/99218063_zpid/,24 Dec 2016 03:04:20," $16,000 ",1926,46628,3,1,(574) 205-0287 ,Indiana,,"4,640 sqft",2513 Lawton St ,"$29,392",  For Sale by Owner ,$600/mo,Very nice
